distCode,distName,officeCode,officeName,shopNo,address,longitude,latitude,fpsStatus,fpsType,dateTime
532,Adilabad,532005,Bela,1905008,Mesram Vilas  Mohabbatpur,78.786767,19.756091,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905009,G Pushpa  Bhedoda,78.757542,19.770350,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905010,"N Anitha  Junoni,warnoor",78.783700,19.705940,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905011,P Rajeshwar  Patan,78.810240,19.716246,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905012,B Jeevan  Sangidi,78.725801,19.763501,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905013,T Gambheer  Kapsi-B,78.758851,19.740630,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905014,"M Shesh Rao  Kobbai,Magroola",78.828687,19.732484,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905015,M Sangeetha  Khogdur,78.804435,19.744382,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905016,P Udhav  Pitgaon,78.826552,19.682086,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905017,"R Amul  Ponnala,Ramkam",78.838882,19.711578,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905018,Madavi Vijay  Karoni -B,78.767223,19.689617,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905019,S Eshwerdas  Sonkhas Kadki,78.808509,19.678437,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905020,DR Depo CHANDPALLY  SDRD Chandpally,78.837942,19.694156,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905021,M Nagorao  Chaprala,78.815661,19.693989,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905022,"Athram Kishan  Takli,Bhavani Guda",78.740002,19.706031,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905023,"Madavi Potu  Masala-B,Masala -K",78.737150,19.684738,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905026,KAMBLE NAVANEET  Bela,78.770060,19.719703,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532006,Narnoor,1906001,DR DEPO NARNOOR  NARNOOR,78.848291,19.498874,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532006,Narnoor,1906002,DR DEPO BHEEMPUR  Bheempoor,78.865348,19.505413,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532006,Narnoor,1906003,Mesram Vimala  Gunajala,78.802198,19.493116,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532006,Narnoor,1906004,DR DEPO KOTHAPALLY H  Kothapally H,78.895738,19.510742,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532006,Narnoor,1906005,Rathod Anitha  Mahagaon,78.811424,19.497647,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532006,Narnoor,1906006,Jadhav Balaji  Thadihatnoor,78.831148,19.455226,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532006,Narnoor,1906007,Jadhav Savithra Bai  Nagalkonda,78.873873,19.466346,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532006,Narnoor,1906008,G Thirupathi  Balanpoor,78.859458,19.464728,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532006,Narnoor,1906009,Ganesh Rathod  Umri,78.892614,19.537991,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
